id,title,price,img_src,provider,link,feature,color
102,여자 헬스 스포츠 힙업 운동 레깅스,26900,https://shopping-phinf.pstatic.net/main_8237728/82377282017.2.jpg,엘레바,https://smartstore.naver.com/eleva/products/4832759065?NaPm=ct%3Dkb3h7an4%7Cci%3D0zO0001yoXHsPGeKn1k6%7Ctr%3Dpla%7Chk%3Da353685e361e4261e24588903314f7de7277f922,shortheight,gray
103,헬스 요가 트레이닝 피트니스 반바지 레이이드 휘트니스 기능성 레깅스,24600,https://shopping-phinf.pstatic.net/main_8243264/82432640343.jpg,쏘쭌,https://smartstore.naver.com/ssojjun/products/4888116809?NaPm=ct%3Dkb3hgrow%7Cci%3D0zC0000sprHspL5f%5FfkT%7Ctr%3Dpla%7Chk%3D10388aaa3873a92e9bdc1e8425ef8ad672013924,shortheight,gray
104,여자 봄 스판 면레깅스 키작녀레깅스,12940,https://shopping-phinf.pstatic.net/main_2243525/22435258272.20200409153111.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22435258272&query=%25ED%2582%25A4%25EC%259E%2591%25EB%2585%2580%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3hi1zk%7Cci%3Dad0e6ec94064f16ee22f104148cd09a1914bb513%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D4ffaae56dda272b6e3051a13192c209f4404938e,shortheight,gray
105,아디다스 요가복 우먼스 키작녀레깅스 키큰여자레깅스 필라테스 손나은 Trefoil,54800,https://shopping-phinf.pstatic.net/main_2303668/23036687943.20200603165840.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=23036687943&query=%25ED%2582%25A4%25EC%259E%2591%25EB%2585%2580%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3hkb08%7Cci%3De371d5ad6fc3ec7132b4d53ff02fccb70ee96cf8%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D92b9965626001dbdafc25501eb6e2b541bc32c57,shortheight,gray
106,블랙 투톤 골지 키작녀 레깅스 쫄바지레깅스,24280,https://shopping-phinf.pstatic.net/main_2152886/21528865188.20191215171910.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=21528865188&query=%25ED%2582%25A4%25EC%259E%2591%25EB%2585%2580%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3hkv2g%7Cci%3D2a70b4e2cfb2b6f79432474b615d75be193e168f%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D95271850bef278bfbc9eea15a3e2c609bd2221a7,shortheight,gray
107,키작녀 키큰녀 레깅스바지 부츠컷레깅스 나팔바지,15800,https://shopping-phinf.pstatic.net/main_8242434/82424341328.1.jpg,마이바비걸,https://smartstore.naver.com/mybabigirl/products/4879817857?NaPm=ct%3Dkb3hp65s%7Cci%3D44687e8832003416a7a2de35858523d50bce74e9%7Ctr%3Dslsl%7Csn%3D204343%7Chk%3D8c0887065c2a98dd2fbe8d9547e3fbfe7f19c2bf,shortheight,gray
108,여성 레깅스 키작녀 여름레깅스,24430,https://shopping-phinf.pstatic.net/main_2279307/22793079220.20200508161812.jpg,여러 제공자,https://search.shopping.naver.com/detail/lite.nhn?nvMid=22793079220&query=%25ED%2582%25A4%25EC%259E%2591%25EB%2585%2580%2520%25EB%25A0%2588%25EA%25B9%2585%25EC%258A%25A4&NaPm=ct%3Dkb3hqoy0%7Cci%3D6dea9a6567263675184cec4f5ae75e832c2b5e34%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dd83f220f792c4ccfb8dce276c924cd797d7e6b05,shortheight,gray
109,키작녀 운동 면 스판 슬라브 레깅스 쫄바지 (6color),10900,https://shopping-phinf.pstatic.net/main_8198446/81984461138.jpg,아스틴,https://smartstore.naver.com/astinshop/products/4439938430?NaPm=ct%3Dkb3hlt0o%7Cci%3D9b6b860235bf36f7ac43287fe2f221a0d96d0552%7Ctr%3Dslsl%7Csn%3D922788%7Chk%3D35e189146e3dd818a8ae3bf28248ddaa77bbb5f1,shortheight,gray
110,하체비만레깅스 키작은여자 연예인 특이한 키작녀 레깅스,11300,https://shopping-phinf.pstatic.net/main_8240784/82407848401.jpg,세연몰,https://smartstore.naver.com/seyeon006/products/4863324946?NaPm=ct%3Dkb3hrwxc%7Cci%3Db28892dbe277d109ed08e4e5793610c4d045e826%7Ctr%3Dslsl%7Csn%3D817540%7Chk%3Dcc84dd71fbe3bd2d819bd8b537243c955f591d70,shortheight,gray
111,키작녀 부츠컷 레깅스 바지,17900,https://shopping-phinf.pstatic.net/main_8238822/82388220423.jpg,셋째언니,https://smartstore.naver.com/3rd-sister/products/4843697269?NaPm=ct%3Dkb3ht1tk%7Cci%3D82e26c5b797731601f4ff8ae8cc762b3912a8dcc%7Ctr%3Dslsl%7Csn%3D1147567%7Chk%3D9c69d151d2607e089d50ea24396b32bb36907b85,shortheight,gray
